Code,Introduction (English),Introduzione (Italiano)
PALA,"",""
BOLD,"It was dedicated to St. Ubaldo and St. Agatha Church (now lost) which gave its name to the early eleventh century district and the nearby river.�Rebuilt several times over the centuries, was joined in 1395 by the hospital of San Boldo (dialect corruption of the name Ubaldo); closed for worship in 1808, after some time it was demolished.�It remains mute testimony without the bell tower of the belfry and spire, reduced to a private residence.","Era dedicata ai santi Ubaldo e Agata la chiesa (oggi scomparsa) che ha dato fin dall'XI secolo la denominazione alla contrada ed al vicino rio. Pi� volte rifabbricata nel corso dei secoli, venne affiancata nel 1395 dall'ospedale di San Boldo (corruzione dialettale del nome Ubaldo); chiusa al culto nel 1808, dopo qualche tempo fu demolita. Ne rimane muta testimonianza il campanile privo della cella campanaria e della cuspide, ridotto a privata abitazione."
LUST,"In Notatori of Gradenigo states that in 1760 the locksmith best, to work the tools of the gondolas that were located in his shop near the bridge dell'Aseo in the immediate vicinity of the other bridge that was later called the lustraferi.�Even Tassini, author of Curiosities Venetian, is inclined to derive the name from the existence of such a shop in the area, with the task of polishing the bolts bowmen of the various lagoon boats.�The seventeenth-century building that stands on the corner of this river and that of Mercy was built by the family Caotorta, who lived for nearly two centuries.","Nei Notatori del Gradenigo si legge che nel 1760 il fabbro pi� bravo, a lavorare i ferri delle gondole fosse quello situato con la sua bottega nei pressi del ponte dell'aseo, nelle immediate vicinanze dell'altro ponte che in seguito verr� chiamato dei lustraferi. Anche Tassini, autore delle Curiosit� Veneziane, � propenso ad far derivare il toponimo dall'esistenza in zona di una simile bottega, con il compito di lucidare i rostri prodieri delle varie imbarcazioni lagunari. Il secentesco edificio che sorge all'angolo tra questo rio e quello della Misericordia venne edificato dalla famiglia Caotorta, che lo abit� per circa due secoli."
FELI,"The hydronym is dictated by the nearby church of San Felice, built in 960 by the patrician family Gallina.�In the district of San Felice was born, in 1693, Pope Clement XIII granted to the parish priests of that church allocating protonotarii apostolic.�Lived in the same area Marcantonio Bragadin, brutally murdered by the Turks during the siege of Famagusta in 1571, whose mortal remains are preserved in the church of Santi Giovanni e Paolo.�Curious is the presence along this river of a medieval bridge, the sole survivor in Venice without side rails, called bridge nail (small picture to the right).�The Rio de San Felice overlook various high-quality residential buildings, including the Ca 'Mora, Ca' Priuli-Scarpon, Ca 'Salamon, Ca' Fontana.","L'idronimo � dettato dalla vicina chiesa di San Felice, eretta nel 960 dal casato patrizio Gallina. In contrada di San Felice nacque, nel 1693, papa Clemente XIII che concesse ai piev�ni di quella chiesa l'attribuzione di protonotarii apostolici. Nella medesima zona abitava Marcantonio Bragadin, barbaramente trucidato dai turchi nel corso dell'assedio di Famagosta del 1571, le cui spoglie mortali sono conservate nella chiesa dei Santi Giovanni e Paolo. Curiosa appare la presenza lungo questo rio di un ponticello medioevale, l'unico superstite a Venezia privo di parapetti laterali, denominato ponte Chiodo (foto piccola a destra). Sul rio de San Felice si affacciano vari edifici residenziali di pregio, fra i quali la Ca' Mora, Ca' Priuli-Scarpon, Ca' Salamon, Ca' Fontana."
TOMA,"",""
POLO,"The church of San Polo was founded in the ninth century and totally restored in 1804 by architect David Rossi, who adapted forms and wall type to the existing neo Gothic building.�Inside are paintings by Tintoretto, Tiepolo, and Jacopo Palma il Giovane.�Along the river there are several historic buildings such as the Palazzo Barbarigo Terrace, built in the second half of the sixteenth century, whose main facade is reflected on the Grand Canal and Palazzo Corner-Mocenigo, built in 1559 by Sanmicheli and now the headquarters of Finance.","La chiesa di San Polo venne fondata nell IX secolo e radicalmente restaurata nel 1804 dall'architetto Davide Rossi, che adatt� forme e rivestimenti di tipo neoclassico alla preesistente costruzione gotica. Al suo interno sono conservati dipinti di Tintoretto, Tiepolo e Jacopo Palma il Giovane. Lungo il rio sorgono numerosi edifici storici, come palazzo Barbarigo della Terrazza, realizzato nella seconda met� del XVI secolo, la cui facciata principale si specchia sul Canal Grande, e palazzo Corner-Mocenigo, edificato nel 1559 dal Sanmicheli ed ora sede della Finanza."
WIDM,"The Widmann, noble Venetian origin Carinthia, became owners of the palace after the wedding celebrated in 1740 between Louis Widmann and Quintilia Rezzonico, nephew of Pope Clement XIII, the building, (represented in the engraving of 1703 by Luca Carlevarijs in bottom right), was designed by Baldassare Longhena.�The river was once called 'San Canciano', from the church of the seventeenth century, situated not far away and designed by the architect Antonio Gaspari.�At the confluence of the river with the Rio de la Widman panada card (79) looks Ca 'Soranzo Van Axel-built between 1473 and 1479 whose portal, quoted by John Ruskin, is unique to Venice for the ogival with original wooden doors of the fifteenth century; inside the building houses a splendid scale discovery whose balustrade is decorated with heads carved in Istrian stone, and in 1627 the building was bought by Van Axel family of Flemish origin.","I Widmann, nobili veneziani di origine carinziana, diventarono proprietari dell'omonimo palazzo in seguito alle nozze celebrate nel 1740 tra Lodovico Widmann e Quintilia Rezzonico, nipote del papa Clemente XIII; l'edificio, (rappresentato nell'incisione del 1703 di Luca Carlevarijs in basso a destra), venne progettato da Baldassare Longhena. Il rio era chiamato un tempo 'San Canciano', dall'omonima chiesa del XVII secolo situata non lontano e progettata dall'architetto Antonio Gaspari. Alla confluenza del rio Widman con il rio de la panada (scheda 79) si affaccia Ca' Soranzo-Van Axel, costruita fra il 1473 e il 1479 il cui portale, citato anche da John Ruskin, � unico a Venezia per l'archiacuto con originali battenti lignei del XV secolo; internamente l'edifico conserva una splendida scala scoperta la cui balaustra � decorata da teste scolpite nella pietra d'Istria; nel 1627 il palazzo venne acquistato dalla famiglia Van Axel di origine fiamminga."
FERA,"The feral�ri, ie manufacturers of lights, were present in the district of San Zulian in the mid-sixteenth century, as evidenced by the various faiths of death in the same church, once a parish.�Their corporations were combined with peten�ri from head (a sort of hair) thus forming one of the many schools of arts and crafts active at the time of the Venetian Republic.�The first lights for public lighting were placed in Marzaria (the main pedestrian link between the area pavement and Qualla Rialto) in 1719 and the following year were extended to the main streets of passage, while the entire city was illuminated only in 1732.�In the middle of the stream of feral, where once it joined the Rio de le Colonete (buried in the last century), was built in 1496 the church of Santa Croce degli Armeni, still celebrated every Sunday morning from Mechitarist fathers of St. Lazarus.","I feral�ri, ossia i costruttori di fanali, erano presenti in contrada di San Zulian gi� nella met� del XVI secolo, come testimoniano varie fedi di morte della medesima chiesa, un tempo parrocchiale. La loro corporazione era unita ai peten�ri da testa (una sorta di parrucchieri) formando cos� una delle tante scuole di arti e mestieri attive al tempo della Repubblica Veneta. I primi fanali per l'illuminazione pubblica furono posti in marzaria (il principale collegamento pedonale fra l'area marciana e qualla realtina) nel 1719 e l'anno seguente vennero estesi alle principali calli di passaggio, mentre l'intera citt� fu illuminata solamente nel 1732. A met� del rio dei ferali, ove un tempo si innestava il rio de le colonete (interrato nel secolo scorso), venne edificata nel 1496 la chiesetta di Santa Croce degli Armeni, tuttora officiata ogni domenica mattina dai padri mechitaristi di San Lazzaro."
CANN,"Among the many assumptions about the origin of this canal, it must be reported the existence of a part of the Venetian Senate in 1339, which gave five wise men bring to the task of San Zulian - on the edge of the eaves of the opposite mainland - in order to evaluate the measures to be taken to prevent the continued spread of landfills and the reed to the city. From this presence marsh origin derives perhaps the naming of the district and the main canal that intersects, bordered by two large and sunny deeply along which overlook splendid buildings interspersed with modest housing: Ca 'Labia, Ca' Surian Bellotto (visible at the left in the photo and - bottom - engraving printed by Luca Carlevarijs of 1703), Ca 'Savorgnan, Ca' Bonfadini, Ca 'Nani, and the typical tower houses over six or seven layers of the old Ghetto.",""
VERO,"",""
SEBA,"",""
OGNI,"The evil of the Saints, which inspired brushes Pio Semeghini in 1903 (left), owes its name to the nearby monastery built in the early fifteenth century by a group of Cistercian nuns, who abandoned the primitive monastery of Santa Margherita di Torcello move to Venice.�Part of the convent was demolished at the end of the nineteenth century and later replaced - in 1909 - by a huge building for hospital use, commonly known as 'chronic'.�The evil of Saints real (now underground) ran along the front of the building, parallel to the river near dell'Avogaria, and connected the Rio de San Trovaso with the stream of Malpaga.","Il rio degli Ognisanti, che ispir� i pennelli di Pio Semeghini nel 1903 (a fianco), deve il suo nome al vicino monastero edificato agli inizi del XV secolo da un gruppo di monache cistercensi, che abbandonarono il primitivo cenobio di Santa Margherita di Torcello per trasferirsi a Venezia. Parte del convento fu demolito allo scadere del XIX secolo e successivamente sostituito - nel 1909 - da un enorme edificio ad uso ospedaliero, volgarmente conosciuto col nome di 'Cronici'. Il rio dei Ognisanti vero e proprio (ora interrato) correva lungo la fronte dell'edificio, parallelamente al vicino rio dell'Avogaria, e collegava il rio de San Trovaso con il rio del Malpaga."
GREC,"Dominated by leaning bell tower that supports the homonymous church is just a few steps from San Marco.�In the second half of the fifteenth century Venice offered hospitality to the many Greek refugees who fled from their lands militarily occupied by the Turks after the fall of Constantinople in 1453.�The community greek orthodox obtained permission to celebrate Mass with their own rite and, in 1539, began the building of the present church, dedicated to St. George and still officiated.�In the urban core still a reference point for the community you can also see the School of St. Nicholas and the college wanted to Thomas Flangini.�The left side of the river is dominated by buildings intended for military use since the early nineteenth century and current headquarters and provincial headquarters of the police.","Dominato dal campanile pendente che affianca l'omonima chiesa, � a pochi passi da San Marco. Nella seconda met� del XV secolo Venezia diede ospitalit� ai numerosi profughi greci che fuggivano dalle loro terre militarmente occupate dai turchi, dopo la caduta di Costantinopoli nel 1453. La comunit� greco-ortodossa ottenne facolt� di celebrare messa con proprio rito e, nel 1539, inizi� l'edificazione dell'attuale chiesa, dedicata a San Giorgio e tuttora officiata. Nel nucleo urbano ancor oggi punto di riferimento di quella comunit� si possono ammirare anche la Scuola di San Nicol� e il collegio voluto da Tommaso Flangini. Il lato sinistro del rio � dominato da edifici destinati ad uso militare fin dal primo Ottocento e attuale sede el Comando provinciale dei carabinieri."
ZULI,"The church of San Giuliano, of ancient foundation, was rebuilt in the sixteenth century to a design by Jacopo Sansovino, the classical fa�ade in Istrian stone is enhanced by the entrance and the bronze statue that depicts the client, the doctor Ravenna Thomas Rangone.�Height of bridge building Papafava Balbi is visible in the painting by William Turner, The Bridge War with the pocket-Papafava Palace, about 1840, characterized by the beautiful sixteenth-century building doorway from itself by building pocket Portogruaro.","La chiesa di San Giuliano, di antica fondazione, fu riedificata nel XVI secolo su progetto di Jacopo Sansovino; la facciata classicheggiante in pietra d'Istria � arricchita dal portale d'ingresso e dalla statua di bronzo che raffigura il committente, il medico ravennate Tommaso Rangone. All'altezza di ponte Balbi sorge palazzo Papafava, visibile nel dipinto di William Turner, The Ponte della Guerra with the Palazzo Tasca-Papafava, 1840 ca, edificio cinquecentesco caratterizzato dal bel portale proveniente a sua volta da palazzo Tasca di Portogruaro."
LIO,"Acts as a hinge connection between the Rio del Fontego dei Tedeschi and those dei Miracoli and Santa Marina.�Slightly offset from the church of San Lio, built in the eleventh century on the foundations of an older church dedicated to St. Catherine, this downtown Rio is among the busiest in the city.","Funge da cerniera di collegamento tra il rio del Fontego dei Tedeschi e quelli dei Miracoli e di Santa Marina. Leggermente decentrato rispetto alla chiesa di San Lio, eretta nell'XI secolo sulle fondazioni di una pi� antica chiesa dedicata a Santa Caterina, questo centralissimo rio � tra i pi� trafficati della citt�."
TROV ,"The church dedicated to Saints Gervasio and Protasio, commonly called the 'San Trovaso', founded probably in the ninth century, underwent several restorations, the last of which in 1458 by Francesco Smeraldi, a pupil of Andrea Palladio.�The fa�ade is crowned by a triangular pediment, is characterized by the portal and the window occupying the middle part of the surface.�Along the river, there is the homonymous shipyard, a rare example of a well preserved that it has been recently experiencing the revival of a great activity (under Pius Semeghini Squero San Trovaso, 1919).�The mouth of the Rio Grande Canal stands the Palazzo Contarini Caskets, this family has left a valuable collection of paintings, books and manuscripts preserved today in the Accademia Gallery and the Biblioteca Marciana.","La chiesa dedicata ai Santi Gervasio e Protasio, detta volgarmente di 'San Trovaso', fondata con ogni probabilit� nel IX secolo, sub� varie ricostruzioni, l'ultima delle quali nel 1458 ad opera di Francesco Smeraldi, allievo di Andrea Palladio. La facciata, coronata da un frontone triangolare, � caratterizzata dal portale e dal finestrone che occupano la parte mediana della superficie. Lungo il rio, si trova l'omonimo squero, raro esempio ben conservato che sta recentemente conoscendo la ripresa di una grande attivit� (sotto, Pio Semeghini, Squero San Trovaso, 1919). All'imbocco del rio con Canal Grande si erge palazzo Contarini degli Scrigni; questa famiglia ha lasciato una preziosa raccolta di dipinti, libri e codici miniati oggi conservati presso le Gallerie dell'Accademia e la Biblioteca Marciana."
APOS,"The church of the Holy Apostles, of ancient foundation, was part of one of the earliest centers of settlement of Venice.�Rebuilt and renovated several times, the present building was renovated in the first half of the eighteenth century; inside are paintings by Tiepolo, including the famous Communion of Saint Lucia.�The painting by Canaletto reproduced below, Campo Santi Apostoli, dated between 1731 and 1735, documenting the urban layout and architecture of the area, similar to the current.Overlooking the river is building Falier, the twelfth century, with a windowed type Veneto-Byzantine was the residence of the Doge Marin Falier, beheaded in 1355 for having conspired against the Serenissima.�At the bridge of San Cancian there is Palazzo Morosini, also known as Ca 'Florentine Strozzi by the family who lived in the sixteenth century.","La chiesa dei Santi Apostoli, di antichissima fondazione, faceva parte di uno dei primi nuclei insediativi di Venezia. Ricostruito e restaurato pi� volte, l'attuale edificio venne rinnovato nella prima met� del Settecento; all'interno sono conservati dipinti del Tiepolo, tra cui la celebre Comunione di Santa Lucia. Il quadro del Canaletto riprodotto in basso, Campo Santi Apostoli, databile tra il 1731 e il 1735, documenta la conformazione urbana e architettonica della zona, del tutto simile all'attuale. Affacciato sul rio sorge palazzo Falier, del XII secolo, che conserva un finestrato di tipo veneto-bizantino; fu dimora del doge Marin Falier, decapitato nel 1355 per aver congiurato contro la Serenissima. All'altezza del ponte di San Cancian si trova palazzo Morosini, conosciuto anche come Ca' Strozzi dall'omonima famiglia fiorentina che vi abit� nel Cinquecento."
MADO,"The name seems to derive from the ancient chapel dedicated to the Virgin Mary, under the portico of San Polo.�Promises on the river and the adjacent field, Tiepolo palace-Maffetti, a Baroque building of the eighteenth century by the architect Giorgio Massari, built on the site of an existing building belonged to the family Bernardo.�A few meters away there is Palazzo Soranzo.�These buildings were once divided by a river that was filled in 1761.�Closes this series of buildings Dona Palace, a Renaissance building of the beginning of the sixteenth century to the characteristic ogival portal decorated with reliefs of animals and floral motifs.","Il nome sembra derivare dall'antico capitello dedicato alla Vergine, posto sotto il portico di San Polo. Prospetta sul rio e sull'adiacente campo, palazzo Tiepolo-Maffetti, costruzione barocca del XVIII secolo, opera dell'architetto Giorgio Massari, sorta sull'area di un preesistente edificio appartenuto alla famiglia Bernardo. A pochi metri di distanza si trova palazzo Soranzo. Questi palazzi erano, un tempo, divisi da un rio che fu interrato nel 1761. Chiude questa serie di costruzioni palazzo Don�, edificio rinascimentale del principio del XVI secolo caratteristico per il portale archiacuto ornato con rilievi di animali e motivi floreali."
BECA,"In the twelfth century this channel was called rio Magadeso, by the family resident in Rialto.�Two centuries later changes, for similar reasons, the primitive name to the Ca 'Bellegno, only a few centuries later will consolidate the current hydronym, reminiscent of the presence in the area of ??public becar�e (slaughterhouses) moved here - in 1339 - from the neighboring district of San Giovanni Elemosinario.�In ancient times was the organization of Supply of meat to the population of the Venetian ducat, entrusted to organs and different offices until the establishment in 1545 of a permanent nature judiciary: the Superintendents above Beccarie, which were growing and then exclusive jurisdiction.�The mouth of the Rio de becarie towards the Grand Canal can be seen to the left in the photo, a modern building in neo-Gothic style, built in 1908 and designed by Carlo Laurenti and Domenico Rupolo and intended to fish.","Nel XII secolo questo canale era chiamato rio Magadeso, dall'omonima famiglia abitante nell'area realtina. Due secoli pi� tardi muta, per analoghi motivi, la primitiva denominazione in quella di Ca' Bellegno; solo qualche secolo pi� tardi si consolider� l'attuale idronimo, che ricorda la presenza nella zona delle pubbliche becar�e (macelli) qui trasferite - nel 1339 - dalla vicina contrada di San Giovanni Elemosinario. A tempi remotissimi risale l'organizzazione dell'approvigionamento delle carni per la popolazione del ducato veneziano, affidata ad organi e uffici diversi fino all'istituzione, nel 1545, di una magistratura a carattere permanente: i Provveditori sopra le beccarie, che ebbero crescente e poi esclusiva giurisdizione in materia. All'imbocco del rio de le becarie verso il Canal Grande si scorge, a sinistra nella foto, un moderno edificio in stile neogotico, costruito nel 1908 su progetto di Carlo Laurenti e Domenico Rupolo e destinato a pescheria."
ARZE,"",""
TREP,"It is a stream that extends for a short distance between Rio Novo and that of Tentor, on which stands the new building of the Local social health of Venice.�Today, along this river immediately next to the Piazzale Roma, the bridges are even five.","� un rio che si estende per un breve tratto tra rio Novo e quello del Tentor, sul quale sorge il nuovo palazzo dell'Unit� locale socio-sanitaria di Venezia. Oggi, lungo questo rio immediatamente prossimo all'area di piazzale Roma, i ponti sono addirittura cinque."
FORN,"The long and straight stream of artificial origin, connects the Canal Grande (in the background in the photo on the right) with the Giudecca Canal, that is seen in the background in the painting by Nino Springolo (Foundation of Venice, 1950).�On the left, the background of the painting, you can see the side buttresses of 'salons', a series of nine large hangars masonry of fifteenth-century overlooking the foundations of the rafts used by that time and until the beginning of our century as a public deposit of salt.�The name of the river recalls the presence of a kiln for firing bricks and other artifacts brick, attested since the Middle Ages in an urban area which also concentrated deposits of sand, lime, clay and wood, which still remains witness in local place names in the area.�The Rio de la fornasa was a time in direct communication with the nearby Rio Ter� of the Catechumens by Rielo of Lanza (now Rio Ter� of Spezier), buried in 1755.�At the confluence of the river in the Grand Canal stands a curious building, built in the twenties in neo-Renaissance style project of the Dall'Olivos, better known as building Salviati, has the entire facade embellished with a large polychrome mosaic put into operation in 1926.","Il lungo e rettilineo rio, di origine artificiale, collega il Canal Grande (sullo sfondo nella foto a fianco) con il canale della Giudecca, che s'intravvede in secondo piano nella tela di Nino Springolo (Fondamenta di Venezia, 1950). A sinistra, sullo sfondo del dipinto, si possono notare i contrafforti laterali dei 'saloni': una serie di nove grandi capannoni in muratura d'impianto quattrocentesco affacciati sulla fondamenta de le Zattere, utilizzati da quell'epoca e fino all'inizio del nostro secolo quale pubblico deposito del sale. La denominazione del rio ricorda la presenza di una fornace per la cottura di mattoni ed altri manufatti in laterizio, attestata fin dal Medioevo in un'area urbana in cui si concentravano altres� depositi di sabbia, calce, argilla e legname, di cui rimane ancor oggi testimonianza nella locale toponomastica della zona. Il rio de la fornasa era un tempo in diretta comunicazione con il vicino rio ter� dei Catecumeni mediante il rielo della Lanza (l'attuale rio ter� del spezier), interrato nel 1755. Alla confluenza del rio in Canal Grande si erge un curioso edificio, costruito negli anni Venti in stile neorinascimentale su progetto dell'ingegnere Dall'Olivo; meglio conosciuto come palazzina Salviati, ha l'intera facciata impreziosita da un grande mosaico policromo messo in opera nel 1926."
LATE,"The stream lapping in the middle of its course, one side of the imposing monastery of St. John Lateran - the site until a few years ago at a school, on the left in the picture - near which stood the church of the same name, which was demolished to 'beginning of the nineteenth century.�The long straight vapor, which goes on to Rio di Santa Marina, has always been one of the main and busiest lines linking the districts of Cannaregio and Castello, remained fairly readable in its path primitive.�It is lined with the houses of Morosini, Ca 'Tetta (which divides into two branches of the river Pestrin or Borgoloco), the majestic' houses for rent 'of Muazzo, arranged in eight residential levels and reach the height the old Ghetto, and finally you can see the residence of the fifteenth Bragadin, stock that gave birth to Marcantonio, a heroic commander of the Venetian garrison of Famagusta flayed alive by the Turks in 1574.","Il rio lambisce, a met� del suo percorso, un lato dell'imponente convento di San Giovanni Laterano - sede fino a pochi anni or sono di un istituto scolastico, a sinistra nella foto - nei pressi del quale sorgeva l'omonima chiesa, demolita all'inizio del XIX secolo. Il lungo rettifilo acqueo, che prosegue col rio di Santa Marina, rappresenta da sempre una delle principali e trafficate direttrici di collegamento fra i sestieri di Cannaregio e Castello, rimasta discretamente leggibile nel suo percorso primitivo. Vi si affacciano le case dei Morosini, la Ca' Tetta (che divide in due rami il rio del pestrin o di Borgoloco), le maestose 'case d'affitto' dei Muazzo, disposte su ben otto livelli abitativi e che raggiungono in altezza quelle del Ghetto vecchio; infine � visibile la residenza quattrocentesca dei Bragadin, casato che diede i natali a Marcantonio, eroico comandante della guarnigione veneziana di Famagosta scorticato vivo dai Turchi nel 1574."
MAGA,"",""
ANTO,"The church of Sant'Antonin, of ancient foundation, is a reconstruction of probable seventeenth century drawing by Baldassare Longhena.�In 1819 took place here a curious piece of news: an elephant escaped from its enclosure, located in Riva degli Schiavoni, took refuge there, and only with�the use of a gun�is able to avoid the animal destroyed the church, the story inspired the poet who composed the Elefanteide Buratti.�It overlooks the river the Scuola di San Giorgio degli Schiavoni, were so called the inhabitants of the Dalmatian coast, which in 1451 came together in brotherhood and built at his own expense.�The school is known for its paintings by Vittore Carpaccio illustrating the life of St. Jerome, Tryphon and George, patron of the association.","La chiesa di Sant'Antonin, di antica fondazione, � una ricostruzione secentesca su probabile disegno di Baldassare Longhena. Nel 1819 avvenne qui un curioso fatto di cronaca: un elefante fuggito dal suo recinto, situato in riva degli Schiavoni, vi si rifugi� e solo con�l'uso di un cannone�si riusc� ad evitare che l'animale distruggesse la chiesa; la vicenda ispir� il poeta Buratti che compose l'Elefanteide. Si affaccia sul rio la Scuola di San Giorgio degli Schiavoni; erano cos� chiamati gli abitanti della costa dalmata, che nel 1451 si riunirono in confraternita e la costruirono a proprie spese. La Scuola � nota per i teleri di Vittore Carpaccio che illustrano la vita dei santi Girolamo, Trifone e Giorgio, protettori del sodalizio."
VIO,"On 5 June each year the church, dedicated to St. Vito and Modesto, was visited by the Doge and the Signoria, to commemorate the suppression of the conspiracy of Tiepolo Baiamonte on the same day in 1310.�In 1806 the church was deconsecrated and demolished soon after.�The original building that remains are a few decorative elements.�At the foot of the bridge of San Vio-rise building Cini Valmarana, from the seventeenth century and the sixteenth-century palace Loredan-Cini.�On the opposite side of the river stands Palazzo Barbarigo, whose main facade, facing the Grand Canal and rhythmic central four-light, is decorated with mosaics nineteenth century.","Il 5 giugno di ogni anno la chiesa, dedicata ai Santi Vito e Modesto, era visitata dal doge e dalla Signoria, per commemorare la repressione della congiura di Baiamonte Tiepolo avvenuta lo stesso giorno nel 1310. Nel 1806 la chiesa fu sconsacrata e poco dopo abbattuta. Dell'originario edificio non rimangono che alcuni elementi decorativi. Ai piedi del ponte di San Vio sorgono palazzo Cini-Valmarana, del XVII secolo, e il cinquecentesco palazzo Loredan-Cini. Sul lato opposto del rio si erge palazzo Barbarigo, la cui facciata principale, rivolta verso Canal Grande e ritmata da quadrifore centrali, � decorata da mosaici ottocenteschi."
SALU,"In the past it was called Rio di San Gregorio de rio or the Abbey, because lapping against the walls of the convent and the apse of the church, as glimpsed in the background on the left in the photo.�Following the construction of the votive church of Santa Maria della Salute, Veneto ordered by the Senate in thanksgiving for the end of the plague of 1630, the river changed its name in 1685, when he completed the enormous amount of church designed by Longhena, immortalized in many by William Turner (Santa Maria della Salute from the Grand Canal, 1840).","In passato era chiamato rio di San Gregorio o rio de l'abazia, perch� lambisce le mura di quel convento e l'abside dell'omonima chiesa, come s'intravvede a sinistra in secondo piano nella foto. A s�guito della costruzione del tempio votivo di Santa Maria della Salute, disposta dal Veneto Senato in ringraziamento per la cessazione della peste del 1630, il rio mut� nome nel 1685, quando venne completata l'enorme mole della chiesa progettata da Baldassarre Longhena, immortalata fra i tanti da William Turner (S. Maria della Salute from the Canal, 1840)."
BRAZ,"Brazzo The family moved to Venice from Tuscany to carry on trade, establishing his residence in the vicinity of the camp of the Moors, in a Gothic building which looks upon the foundations of Sensa (number 3355), on whose wall is set the weapon the house in bas-relief.�After two centuries of well-being, the family became extinct in the wrong way, because of some violent deaths.�Among its members, it should be noted that a famous Godfrey, along with other deserving citizens at the time, he founded the school of the Flagellants of San Marco in 1347 and was the first guardian grando.�He was buried on the island of Sant'Andrea della Certosa, as documented by Emanuele Antonio Stork in his monumental collection of Venetian Inscriptions.At the end of the picturesque Rio de Ca 'Brazzo (or From Brazzo) you can admire the majestic bulk of the Gothic church (photo) of Our Lady of the Garden, founded in 1351 by Marco de Tiberius' Tiberii from Parma, general of the humble.�In this church are preserved, among other works, two famous paintings by Jacopo Tintoretto: The Adoration of the Golden Calf and the Last Judgment.","La famiglia Brazzo si trasfer� a Venezia dalla Toscana per esercitare il commercio, stabilendo la propria residenza in prossimit� del campo dei mori, in un edificio gotico che prospetta sulla fondamenta della Sensa (civico 3355), sul cui muro di cinta � incastonata l'arma del casato in bassorilievo. Dopo due secoli di benessere, il casato si estinse in malo modo, a causa di alcune morti violente. Fra i suoi membri va ricordato un celebre Goffredo che, assieme ad altri benemeriti cittadini dell'epoca, fond� la scuola dei Battuti di San Marco nel 1347 e ne fu il primo guardian grando. Venne sepolto nell'isola di Sant'Andrea della Certosa, come documenta Emanuele Antonio Cicogna nella sua monumentale raccolta delle Inscrizioni Veneziane. Alla fine del pittoresco rio de Ca' Brazzo (o Da Brazzo) si ammira la maestosa mole della chiesa gotica (foto a fianco) della Madonna dell'Orto, fondata nel 1351 da Marco Tiberio de' Tiberii da Parma, generale degli Umiliati. In questa chiesa si custodiscono, fra gli altri capolavori, due celebri tele di Jacopo Tintoretto: l'Adorazione del Vitello d'Oro e il Giudizio Universale."
FRAR,"A group of followers of St. Francis around 1250 took temporary residence in some places on the border between the districts of San Toma and San Stin, where he built a church dedicated to Santa Maria Gloriosa, which was rebuilt in its present form between the fourteenth and fifteenth centuries.�The majestic Gothic church - the largest of Venice along with that of Santi Giovanni e Paolo - it houses many masterpieces, including works by Giovanni Bellini, Jacopo Palma il Giovane, Donatello, among all stands the altar-piece of Titian that adorns the altar.�Adjacent to the facade of the church is the oldest school of the Florentines, visible in the background in the photograph; indemaniata the early nineteenth century, is currently the seat of the Superintendent of Archives for the Veneto region and acts as an entrance to the State Archives, housed in the rear convent of the Franciscan Friars Minor was: 'Ca' Granda dei Frari ', where from 1815 were concentrated all the archives of the Venetian Republic and the governments it succeeded, originally preserved in the Doge Palace and public offices of the Rialto .�The sketch of Le Corbusier (I Frari, 1960, at left), returns with a magnificent synthesis the urban area.","Un gruppo di seguaci di San Francesco verso il 1250 prese provvisoria dimora in alcuni locali posti al confine tra le contrade di San Tom� e di San Stin, dove venne eretta una chiesa dedicata a Santa Maria Gloriosa, ricostruita nelle forme attuali fra Tre e Quattrocento. La maestosa chiesa gotica - la pi� grande di Venezia insieme a quella dei Santi Giovanni e Paolo - conserva al suo interno molti capolavori, tra i quali opere di Giovanni Bellini, Jacopo Palma il Giovane, Donatello; fra tutti spicca la pala dell'Assunta di Tiziano che orna l'altare maggiore. Adiacente alla facciata della chiesa sorge l'antica scuola dei Fiorentini, visibile in secondo piano nella fotografia; indemaniata agli inizi del XIX secolo, � attualmente la sede della Soprintendenza archivistica per il Veneto e funge da ingresso all'Archivio di Stato, ospitato nel retrostante convento che fu dei frati minori francescani: la 'Ca' granda dei Frari', dove a partire dal 1815 vennero concentrati tutti gli archivi della Repubblica Veneta e dei governi ad essa succeduti, originariamente conservati in Palazzo dogale e nei pubblici uffici dell'area realtina. Lo schizzo di Le Corbusier (I Frari, 1960, qui a fianco), restituisce con magnifica sintesi l'assetto urbanistico dell'area."
